School Name,School Type,Youth Attendees,Address,Year,full_address,latitude,longitude
Curie High School,High School,330,"4959 S Archer Ave, Chicago, IL 60632",2026-02-10T00:00:00Z,"4959 S Archer Ave, Chicago, IL 60632 Chicago, IL",41.802004557942,-87.722571067383
Hernandez Middle School,Middle,600,"3510 W. 55th St, Chicago,IL  60632",2026-02-10T00:00:00Z,"3510 W. 55th St, Chicago,IL  60632 Chicago, IL",41.793694278129,-87.711975084484
Rufino Tamayo Elementary School,Elementary,100,"5135 S California Ave, Chicago, IL 60632",2026-02-11T00:00:00Z,"5135 S California Ave, Chicago, IL 60632 Chicago, IL",41.799954051059,-87.69362039291
George Washington Elementary School,Elementary,160,"3611 E.114th St, Chicago,IL 60617",2026-02-11T00:00:00Z,"3611 E.114th St, Chicago,IL 60617 Chicago, IL",41.687759804394,-87.535940030374
Burroughs Elementary School,Elementary,100,"3542 S Washtenaw Ave., Chicago, IL 60632",2026-02-12T00:00:00Z,"3542 S Washtenaw Ave., Chicago, IL 60632 Chicago, IL",41.828857577326,-87.692697461551
Dyett High School For The Arts,High School,200,"555 E. 51st St, Chicago,IL 60615",2026-02-12T00:00:00Z,"555 E. 51st St, Chicago,IL 60615 Chicago, IL",41.801385596302,-87.611874038173
Cesar Chavez Multicultural Arts Center,Middle,80,"4831 S Hermitage Ave, Chicago, IL, 60609",2026-02-18T00:00:00Z,"4831 S Hermitage Ave, Chicago, IL, 60609 Chicago, IL",41.80586999832,-87.668239990095
Theophilus Schmid School,Elementary,50,"9755 S Greenwood Eve,Chicago, IL 60628",2026-02-19T00:00:00Z,"9755 S Greenwood Eve,Chicago, IL 60628 Chicago, IL",41.71712228177,-87.596590308285
Mahalia Elementary School,Elementary,50,"917 W 88th St, Chicago, IL 60620",2026-02-20T00:00:00Z,"917 W 88th St, Chicago, IL 60620 Chicago, IL",41.733860229949,-87.646873010158
Perspectives Rodney D. Joslin Campus,High School,40,"1930 S Archer Ave, Chicago, IL 60616",2026-02-23T00:00:00Z,"1930 S Archer Ave, Chicago, IL 60616 Chicago, IL",41.856355793707,-87.628234004429
Kilmer Elementary,Elementary,200,"6700 N Greenview Ave, Chicago, IL 60626",2026-02-23T00:00:00Z,"6700 N Greenview Ave, Chicago, IL 60626 Chicago, IL",42.003915552983,-87.668498068894
Curie High School,High School,160,"4959 S Archer Ave, Chicago, IL 60632",2026-02-24T00:00:00Z,"4959 S Archer Ave, Chicago, IL 60632 Chicago, IL",41.802004557942,-87.722571067383
Perspectives Rodney D. Joslin Campus,High School,40,"1930 S Archer Ave, Chicago, IL 60616",2026-02-25T00:00:00Z,"1930 S Archer Ave, Chicago, IL 60616 Chicago, IL",41.856355793707,-87.628234004429
Perspectives Rodney D. Joslin Campus,High School,40,"1930 S Archer Ave, Chicago, IL 60616",2026-02-26T00:00:00Z,"1930 S Archer Ave, Chicago, IL 60616 Chicago, IL",41.856355793707,-87.628234004429
Christian Fenger Academy,High School,100,"11220 S Wallace St, Chicago, IL 60628",2026-02-27T00:00:00Z,"11220 S Wallace St, Chicago, IL 60628 Chicago, IL",41.689078361583,-87.638358672912
UIC College Prep,High School,40,"1231 S Damen Ave, Chicago, IL 60608",2026-03-03T00:00:00Z,"1231 S Damen Ave, Chicago, IL 60608 Chicago, IL",41.865236503941,-87.675910772605
James Farmer Jr. Elementary School,Elementary,100,"4214 S St Lawrence Ave, Chicago, IL, 60653",2026-03-05T00:00:00Z,"4214 S St Lawrence Ave, Chicago, IL, 60653 Chicago, IL",41.817871626382,-87.612337725056
Webster Elementary,Elementary,40,"4055 W. Arthington St, Chicago,  IL 60624",2026-03-10T00:00:00Z,"4055 W. Arthington St, Chicago,  IL 60624 Chicago, IL",41.869721408873,-87.726842233784
Tanner Elementary School,Elementary,60,"7350 S Evans Ave, Chicago, IL 60619",2026-03-10T00:00:00Z,"7350 S Evans Ave, Chicago, IL 60619 Chicago, IL",41.760666520223,-87.607178747471
Pathways- Brighton Park,High School,150,"3124 W. 47th St, Chicago, IL 60632",2026-03-11T00:00:00Z,"3124 W. 47th St, Chicago, IL 60632 Chicago, IL",41.808356531806,-87.702592046793
Mark Twain Elementary School,Elementary,230,"5134 S Lotus Ave,Chicago, IL 60638",2026-03-11T00:00:00Z,"5134 S Lotus Ave,Chicago, IL 60638 Chicago, IL",41.799136605952,-87.759394109137
CISC Loomis-Longwood,High School,120,"1309 W. 95th St, Chicago, IL 60643",2026-03-17T00:00:00Z,"1309 W. 95th St, Chicago, IL 60643 Chicago, IL",41.720920792651,-87.655803676534
UIC College Prep,High School,60,"1231 S Damen Ave, Chicago, IL 60608",2026-03-18T00:00:00Z,"1231 S Damen Ave, Chicago, IL 60608 Chicago, IL",41.865236503941,-87.675910772605
Hyman Rickover Naval Academy,High School,153,"5700 W. Berteau Ave , Chicago, IL 60634",2026-03-30T00:00:00Z,"5700 W. Berteau Ave , Chicago, IL 60634 Chicago, IL",41.957398756387,-87.770681515229
Talcott Elementary,Elementary,50,"1840 W. Ohio St, Chicago, Il 60622",2026-03-31T00:00:00Z,"1840 W. Ohio St, Chicago, Il 60622 Chicago, IL",41.892598221028,-87.673958292079
Talcott Elementary,Elementary,50,"1840 W. Ohio St, Chicago, Il 60622",2026-03-31T00:00:00Z,"1840 W. Ohio St, Chicago, Il 60622 Chicago, IL",41.892598221028,-87.673958292079
Nobel Dual Language Elementary,Elementary,191,"4127 W. Hirsch St, Chicago, IL 60651",2026-03-31T00:00:00Z,"4127 W. Hirsch St, Chicago, IL 60651 Chicago, IL",41.905827881724,-87.729855779433
South Loop Middle School,Middle,70,"1601 S Dearborn St, Chicago, IL 60616",2026-03-31T00:00:00Z,"1601 S Dearborn St, Chicago, IL 60616 Chicago, IL",41.859541210281,-87.62834732776
Dett Elementary,Elementary,80,"2131 W. Monroe St, Chicago, IL 60612",2026-03-31T00:00:00Z,"2131 W. Monroe St, Chicago, IL 60612 Chicago, IL",41.879657484535,-87.680153440535
South Loop Middle School,Middle,185,"1601 S Dearborn St, Chicago, IL 60616",2026-03-31T00:00:00Z,"1601 S Dearborn St, Chicago, IL 60616 Chicago, IL",41.859541210281,-87.62834732776
Rowe Elementary School,Elementary,80,"1424 N Cleaver St, Chicago, IL 60616",2026-03-31T00:00:00Z,"1424 N Cleaver St, Chicago, IL 60616 Chicago, IL",41.90779859289,-87.664687320434
Rowe Elementary School,Elementary,10,"1424 N Cleaver St, Chicago, IL 60616",2026-03-31T00:00:00Z,"1424 N Cleaver St, Chicago, IL 60616 Chicago, IL",41.90779859289,-87.664687320434
Acero Charter -Marquez,Elementary,120,"2916 W 47th St, Chicago, IL 60632",2026-03-31T00:00:00Z,"2916 W 47th St, Chicago, IL 60632 Chicago, IL",41.808570605614,-87.697191838034
Hurley Elementary School,Elementary,70,"3849 W 69th Pl, Chicago, IL 60629",2026-03-31T00:00:00Z,"3849 W 69th Pl, Chicago, IL 60629 Chicago, IL",41.766551580171,-87.719282762948
Academy for Global Citizenship,Elementary,45,"4942 W 44th St, Chicago, IL 60638",2026-03-31T00:00:00Z,"4942 W 44th St, Chicago, IL 60638 Chicago, IL",41.813421967352,-87.747997235389
Pathways HS- Ashburn,High School,40,"3284 W. 87th St Chicago, IL 60652",2026-03-31T00:00:00Z,"3284 W. 87th St Chicago, IL 60652 Chicago, IL",41.736596334603,-87.705347848919
Turner-Drew,Elementary,75,"9300 S Princeton Ave, Chicago, IL 60620",2026-03-31T00:00:00Z,"9300 S Princeton Ave, Chicago, IL 60620 Chicago, IL",41.725720982871,-87.630484210155
