School Name,School Type,Youth Attendees,Address,Year,full_address,latitude,longitude
Crane Medical HS,High School,276,"2245 W Jackson Blvd Chicago, IL 60612",2024-02-16T00:00:00Z,"2245 W Jackson Blvd Chicago, IL 60612 Chicago, IL",41.876876830066,-87.683242339493
Sawyer Elementary,Elementary,343,"524 S Sawyer Ave Chicago, IL 60632",2024-02-20T00:00:00Z,"524 S Sawyer Ave Chicago, IL 60632 Chicago, IL",41.810773863821,-87.705293913574
Patrick Henry,Elementary,180,"4250 N St. Louis Ave Chicago, IL 60618",2024-02-21T00:00:00Z,"4250 N St. Louis Ave Chicago, IL 60618 Chicago, IL",41.958722803722,-87.715838471295
Mather HS,High School,86,"5835 N Lincoln Ave Chicago, IL 60659",2024-02-22T00:00:00Z,"5835 N Lincoln Ave Chicago, IL 60659 Chicago, IL",41.988182427356,-87.700602266798
Dyett High,High School,117,"555 E 51st Chicago, IL 60615",2024-02-27T00:00:00Z,"555 E 51st Chicago, IL 60615 Chicago, IL",41.801385596302,-87.611874038173
Kelly Prep HS,High School,50,"4136 S California Ave, Chicago, IL 60632",2024-03-14T00:00:00Z,"4136 S California Ave, Chicago, IL 60632 Chicago, IL",41.818112564188,-87.69484012746
Parkside Academy,Elementary,30,"6938 S East End Ave, Chicago, IL 606049",2024-03-20T00:00:00Z,"6938 S East End Ave, Chicago, IL 606049 Chicago, IL",41.768909283806,-87.583305829942
Kellman Corporate Elementary,Elementary,49,"3030 W Arthington St, Chicago, IL 60612",2024-03-20T00:00:00Z,"3030 W Arthington St, Chicago, IL 60612 Chicago, IL",41.870301604211,-87.702558100085
Volta Elementary,Elementary,250,"4950 N Avers Ave Chicago, IL 60625",2024-03-21T00:00:00Z,"4950 N Avers Ave Chicago, IL 60625 Chicago, IL",41.971454411732,-87.725089326373
Sabin Dual Langauge,Elementary,111,"2216 W Hirsch St, Chicago IL, 60622",2024-03-21T00:00:00Z,"2216 W Hirsch St, Chicago IL, 60622 Chicago, IL",41.907404056707,-87.682878229619
Brighton Park,Elementary,95,"3825 S Washtenaw Ave Chicago, IL 60632",2024-04-08T00:00:00Z,"3825 S Washtenaw Ave Chicago, IL 60632 Chicago, IL",41.823912589729,-87.691987430533
Walsh Elementary,Elementary,60,"2015 S Peoria St Chicago, IL 60608",2024-04-08T00:00:00Z,"2015 S Peoria St Chicago, IL 60608 Chicago, IL",41.854956686429,-87.647893925965
Turner-Drew,Elementary,60,Virtual,2024-04-09T00:00:00Z,"Virtual Chicago, IL",41.781582,-87.969647
Gallistel Language,Elementary,193,"10347 S Ewing Ave Chicago, IL 60617",2024-04-09T00:00:00Z,"10347 S Ewing Ave Chicago, IL 60617 Chicago, IL",41.706900760395,-87.53493185506
Alfred Nobel,Elementary,200,"4127 W Hirsch St, Chicago IL, 60651",2024-04-09T00:00:00Z,"4127 W Hirsch St, Chicago IL, 60651 Chicago, IL",41.905827881724,-87.729855779433
Otis Elementary,Elementary,80,"525 N Armour St Chicago, IL 60642",2024-04-11T00:00:00Z,"525 N Armour St Chicago, IL 60642 Chicago, IL",41.891669422338,-87.665106164136
Christopher Elementary,Elementary,80,"5042 S Artesian Ave, Chicago IL 60632",2024-04-15T00:00:00Z,"5042 S Artesian Ave, Chicago IL 60632 Chicago, IL",41.801765925159,-87.686070225987
George Washington Elementary,Elementary,219,"3611 E 114th St Chicago, IL 60617",2024-04-17T00:00:00Z,"3611 E 114th St Chicago, IL 60617 Chicago, IL",41.687759804394,-87.535940030374
Christian Fenger HS,High School,80,"11220 S Wallace St, Chicago IL, 60628",2024-04-23T00:00:00Z,"11220 S Wallace St, Chicago IL, 60628 Chicago, IL",41.689078361583,-87.638358672912
Eberhart Elementary,Elementary,350,"3400 W 65th Pl Chicago, IL 60629",2024-04-24T00:00:00Z,"3400 W 65th Pl Chicago, IL 60629 Chicago, IL",41.77474971012,-87.708583431183
Dyett High,High School,117,"555 E 51st Chicago, IL 60615",2024-04-29T00:00:00Z,"555 E 51st Chicago, IL 60615 Chicago, IL",41.801385596302,-87.611874038173
Kinzie Elementary,Elementary,233,"5625 S Mobile Ave Chicago, IL 60638",2024-04-30T00:00:00Z,"5625 S Mobile Ave Chicago, IL 60638 Chicago, IL",41.789448131709,-87.778930649058
George Washington HS,High School,150,"3535 E 114th St Chicago, IL 60617",2024-04-30T00:00:00Z,"3535 E 114th St Chicago, IL 60617 Chicago, IL",41.687165820825,-87.538186212787
