school_name_std,address,city,zip,county,FedCong,included_in_program,registered,n_incidents,had_incident,n_disp_return,perc_disp_return
life learning in functional environments,936 W Michigan Ave,Jacksonville,62650 3113,Morgan,15,0,NA,0,0,NA,NA
life academy,2405 Champaign Ave,Mattoon,61938,Coles,15,0,1,0,0,NA,NA
lift leaders innovating for tomorrow,121 S 17Th St,Mattoon,61938 3915,Coles,15,1,1,0,0,NA,NA
lily lake grade school,5N720 IL Route 47,Maple Park,60151 8531,Kane,11,1,NA,0,0,NA,NA
limestone community high school,4201 Airport Rd,Peoria,61607 2113,Peoria,17,1,NA,0,0,NA,NA
limestone middle sch,963 N 5000W Rd,Kankakee,60901 8272,Kankakee,02,1,1,0,0,NA,NA
limestone walters elem school,8223 W Smithville Rd,Peoria,61607 9428,Peoria,17,1,NA,0,0,NA,NA
lincoln academy,320 Lincoln St,Roselle,60172 1127,Dupage,08,1,1,0,0,NA,NA
lincoln academy,320 Lincoln St,Roselle,60172 1127,Dupage,08,0,NA,0,0,NA,NA
lincoln attendance center,113 10th St,Carmi,62821 1484,White,12,1,1,0,0,NA,NA
lincoln cltrl ctr montessori elem,240 Warren Ave,Kankakee,60901 4319,Kankakee,02,1,NA,0,0,NA,NA
lincoln comm high school,1000 Railer Way,Lincoln,62656 3180,Logan,15,1,NA,0,0,NA,NA
lincoln early childhood school,325 S 11th St,Monmouth,61462 2473,Warren,17,1,NA,0,0,NA,NA
lincoln elem school,1011 Bonus Ave,Belvidere,61008 2343,Boone,11,1,1,0,0,NA,NA
lincoln elem school,501 S Euclid Ave,Princeton,61356 2140,Bureau,16,1,1,0,0,NA,NA
lincoln elem school,614 E 2nd St,Pana,62557 0377,Christian,NA,1,1,0,0,NA,NA
lincoln elem school,1520 Center Ave,Chicago Heights,60411 3634,Cook,02,1,NA,0,0,NA,NA
lincoln elem school,511 Park Ave,River Forest,60305 1712,Cook,07,1,1,1,1,1,1
lincoln elem school,4300 Grove Ave,Brookfield,60513 2580,Cook,04,1,1,0,0,NA,NA
lincoln elem school,2140 Broadway St,Blue Island,60406 3051,Cook,02,1,NA,0,0,NA,NA
lincoln elem school,912 Burnham Ave,Calumet City,60409,Cook,02,1,NA,0,0,NA,NA
lincoln elem school,615 W Kemper Pl,Chicago,60614 3319,Cook,05,1,1,6,1,3,0.5
lincoln elem school,407 S Jackson St,Clinton,61727 2212,Dewitt,15,1,1,0,0,NA,NA
lincoln elem school,720 N Lincoln Ave,Addison,60101 2573,Dupage,03,1,1,0,0,NA,NA
lincoln elem school,630 Dawes Ave,Wheaton,60189 6521,Dupage,06,1,1,0,0,NA,NA
lincoln elem school,565 S Fairfield Ave,Elmhurst,60126 3816,Dupage,06,1,1,1,1,0,0
lincoln elem school,211 S 6th Ave,Saint Charles,60174 2901,Kane,NA,1,NA,0,0,NA,NA
lincoln elem school,755 Bennett Ave,Oglesby,61348 1067,La Salle,14,1,1,0,0,NA,NA
lincoln elem school,805 4th Ave,Mendota,61342 1705,La Salle,14,1,1,0,0,NA,NA
lincoln elem school,200 W Maple Ave,Mundelein,60060 1785,Lake,10,1,1,0,0,NA,NA
lincoln elem school,315 N Bonham St,Macomb,61455 1808,McDonough,17,1,1,0,0,NA,NA
lincoln elem school,320 W Independence Ave,Jacksonville,62650 1350,Morgan,15,1,1,0,0,NA,NA
lincoln elem school,1450 20th St,Rochelle,61068 1076,Ogle,16,1,1,0,0,NA,NA
lincoln elem school,801 Springfield Rd,East Peoria,61611 3366,Tazewell,16,1,NA,0,0,NA,NA
lincoln elem school,100 S Nebraska Ave,Morton,61550 2784,Tazewell,16,1,1,0,0,NA,NA
lincoln elem school,108 Warren St,Anna,62906 1642,Union,12,1,1,0,0,NA,NA
lincoln elem school,1501 E 6th St,Sterling,61081 2771,Whiteside,17,1,NA,0,0,NA,NA
lincoln elem school,20163 Corinth Rd,Pittsburg,62974 1449,Williamson,12,1,1,0,0,NA,NA
lincoln elem school,400 Morningside Dr,Marion,62959 5323,Williamson,12,1,NA,0,0,NA,NA
lincoln elem school,910 Forest Ave,Evanston,60202 1474,Cook,09,1,NA,0,0,NA,NA
lincoln elem school,811 Chicago Ave,Maywood,60153 1172,Cook,04,1,1,0,0,NA,NA
lincoln elem school,14100 Honore Ave,Dixmoor,60426 1115,Cook,01,1,NA,0,0,NA,NA
lincoln elem school,1110 W Main St,Ottawa,61350 2603,La Salle,14,1,NA,0,0,NA,NA
lincoln elementary,14740 Meadow Ln,Plainfield,60544 2513,Will,14,1,1,0,0,NA,NA
lincoln elementary school,3420 Jackson St,Bellwood,60104 2419,Cook,07,1,1,0,0,NA,NA
lincoln elementary school,1021 N Ridgewood Ln,Palatine,60067 3448,Cook,05,1,1,0,0,NA,NA
lincoln elementary school,301 E Poplar St,Robinson,62454 2943,Crawford,12,1,NA,0,0,NA,NA
lincoln elementary school,220 E Sunset Pl,DeKalb,60115 4426,Dekalb,14,1,1,0,0,NA,NA
